cites,authors,title,year,source,publisher,abstract,text
2,"D Lupton, K Willis",COVID SOCIETY,2021,The COVID-19 Crisis: Social Perspectives,books.google.com,"In the early 1990s, the English translation of the German sociologist Ulrich Beck's book Risk Society: Towards a New Modernity (Beck, 1992) introduced the concept of 'risk society'to sociologists and risk theorists internationally. Beck argued that processes of industrialisation ??","COVID SOCIETY In the early 1990s, the English translation of the German sociologist Ulrich Beck's book Risk Society: Towards a New Modernity (Beck, 1992) introduced the concept of 'risk society'to sociologists and risk theorists internationally. Beck argued that processes of industrialisation ??"
102,"L Chan, K Chaudhary, A Saha, K Chauhan??",AKI in hospitalized patients with COVID-19,2021,Journal of the ??,Am Soc Nephrol,"Background Early reports indicate that AKI is common among patients with coronavirus disease 2019 (COVID-19) and associated with worse outcomes. However, AKI among hospitalized patients with COVID-19 in the United States is not well described. Methods This ??","AKI in hospitalized patients with COVID-19 Background Early reports indicate that AKI is common among patients with coronavirus disease 2019 (COVID-19) and associated with worse outcomes. However, AKI among hospitalized patients with COVID-19 in the United States is not well described. Methods This ??"
13,"EAN Wastnedge, RM Reynolds??",Pregnancy and COVID-19,2021,Physiological ??,journals.physiology.org,"There are many unknowns for pregnant women during the coronavirus disease 2019 (COVID-19) pandemic. Clinical experience of pregnancies complicated with infection by other coronaviruses eg, Severe Acute Respiratory Syndrome (SARS) and Middle Eastern ??","Pregnancy and COVID-19 There are many unknowns for pregnant women during the coronavirus disease 2019 (COVID-19) pandemic. Clinical experience of pregnancies complicated with infection by other coronaviruses eg, Severe Acute Respiratory Syndrome (SARS) and Middle Eastern ??"
38,"B Debuc, DM Smadja",Is COVID-19 a new hematologic disease?,2021,Stem cell reviews and reports,Springer,"SARS-CoV-2 viruses are positive single-stranded RNA viruses, whose infection can be asymptomatic or lead to the coronavirus disease 2019 (Covid-19). Covid-19 is a respiratory infection with a significant impact on the hematopoietic system and hemostasis leading to ??","Is COVID-19 a new hematologic disease? SARS-CoV-2 viruses are positive single-stranded RNA viruses, whose infection can be asymptomatic or lead to the coronavirus disease 2019 (Covid-19). Covid-19 is a respiratory infection with a significant impact on the hematopoietic system and hemostasis leading to ??"
14,"M Kamal, M Abo Omirah, A Hussein??",Assessment and characterisation of post?\COVID?\19 manifestations,2021,International Journal of ??,Wiley Online Library,"Background Post?\COVID?\19 symptoms and diseases appeared on many survivors from COVID?\19 which are similar to that of the post?\severe acute respiratory syndrome (SARS) fatigue. Hence, the study aims to investigate and characterise the manifestations which ??","Assessment and characterisation of post?\COVID?\19 manifestations Background Post?\COVID?\19 symptoms and diseases appeared on many survivors from COVID?\19 which are similar to that of the post?\severe acute respiratory syndrome (SARS) fatigue. Hence, the study aims to investigate and characterise the manifestations which ??"
52,"K Desmet, R Wacziarg",Understanding spatial variation in COVID-19 across the United States,2021,Journal of Urban Economics,Elsevier,"What factors explain spatial variation in the severity of COVID-19 across the United States? To answer this question, we analyze the correlates of COVID-19 cases and deaths across US counties. We document four sets of facts. First, effective density is an important and ??","Understanding spatial variation in COVID-19 across the United States What factors explain spatial variation in the severity of COVID-19 across the United States? To answer this question, we analyze the correlates of COVID-19 cases and deaths across US counties. We document four sets of facts. First, effective density is an important and ??"
7,"HK Koh, AC Geller, TJ VanderWeele",Deaths from COVID-19,2021,JAMA,jamanetwork.com,"In any year, keeping track of new health trends can be difficult. But this year, the dynamic nature of coronavirus disease 2019 (COVID-19) has made clarity almost impossible. Declines in mortality, after daily COVID-19?Crelated deaths peaked last spring, initially fueled ??","Deaths from COVID-19 In any year, keeping track of new health trends can be difficult. But this year, the dynamic nature of coronavirus disease 2019 (COVID-19) has made clarity almost impossible. Declines in mortality, after daily COVID-19?Crelated deaths peaked last spring, initially fueled ??"
21,"V Checchi, P Bellini, D Bencivenni, U Consolo",COVID-19 dentistry-related aspects: a literature overview,2021,International dental journal,Elsevier,"A new coronavirus (Sars-CoV-2) was detected in China at the end of 2019 and has since caused a worldwide pandemic. This virus is responsible for an acute respiratory syndrome (COVID-19), distinguished by a potentially lethal interstitial bilateral pneumonia. Because ??","COVID-19 dentistry-related aspects: a literature overview A new coronavirus (Sars-CoV-2) was detected in China at the end of 2019 and has since caused a worldwide pandemic. This virus is responsible for an acute respiratory syndrome (COVID-19), distinguished by a potentially lethal interstitial bilateral pneumonia. Because ??"
117,"E Pairo-Castineira, S Clohisey, L Klaric, AD Bretherick??",Genetic mechanisms of critical illness in Covid-19,2021,Nature,nature.com,"Host-mediated lung inflammation is present 1, and drives mortality 2, in the critical illness caused by coronavirus disease 2019 (COVID-19). Host genetic variants associated with critical illness may identify mechanistic targets for therapeutic development 3. Here we ??","Genetic mechanisms of critical illness in Covid-19 Host-mediated lung inflammation is present 1, and drives mortality 2, in the critical illness caused by coronavirus disease 2019 (COVID-19). Host genetic variants associated with critical illness may identify mechanistic targets for therapeutic development 3. Here we ??"
147,"W Ding, R Levine, C Lin, W Xie",Corporate immunity to the COVID-19 pandemic,2021,Journal of Financial Economics,Elsevier,"We evaluate the connection between corporate characteristics and the reaction of stock returns to COVID-19 cases using data on more than 6,700 firms across 61 economies. The pandemic-induced drop in stock returns was milder among firms with stronger pre-2020 ??","Corporate immunity to the COVID-19 pandemic We evaluate the connection between corporate characteristics and the reaction of stock returns to COVID-19 cases using data on more than 6,700 firms across 61 economies. The pandemic-induced drop in stock returns was milder among firms with stronger pre-2020 ??"
460,"Y Zuo, M Zuo, S Yalavarthi, K Gockman??",Neutrophil extracellular traps and thrombosis in COVID-19,2021,Journal of thrombosis ??,Springer,Studies of patients with COVID-19 have demonstrated markedly dysregulated coagulation and a high risk of morbid arterial and venous thrombotic events. Elevated levels of blood neutrophils and neutrophil extracellular traps (NETs) have recently been described in ??,Neutrophil extracellular traps and thrombosis in COVID-19 Studies of patients with COVID-19 have demonstrated markedly dysregulated coagulation and a high risk of morbid arterial and venous thrombotic events. Elevated levels of blood neutrophils and neutrophil extracellular traps (NETs) have recently been described in ??
61,"KM Kniffin, J Narayanan, F Anseel??","COVID-19 and the workplace: Implications, issues, and insights for future research and action.",2021,American ??,psycnet.apa.org,"The impacts of COVID-19 on workers and workplaces across the globe have been dramatic. This broad review of prior research rooted in work and organizational psychology, and related fields, is intended to make sense of the implications for employees, teams, and work ??","COVID-19 and the workplace: Implications, issues, and insights for future research and action. The impacts of COVID-19 on workers and workplaces across the globe have been dramatic. This broad review of prior research rooted in work and organizational psychology, and related fields, is intended to make sense of the implications for employees, teams, and work ??"
9,"D Bougakov, K Podell, E Goldberg",Multiple neuroinvasive pathways in COVID-19,2021,Molecular neurobiology,Springer,"COVID-19 is a highly infectious viral disease caused by the novel coronavirus SARS-CoV-2. While it was initially regarded as a strictly respiratory illness, the impact of COVID-19 on multiple organs is increasingly recognized. The brain is among the targets of COVID-19, and ??","Multiple neuroinvasive pathways in COVID-19 COVID-19 is a highly infectious viral disease caused by the novel coronavirus SARS-CoV-2. While it was initially regarded as a strictly respiratory illness, the impact of COVID-19 on multiple organs is increasingly recognized. The brain is among the targets of COVID-19, and ??"
5,"SJ Fong, N Dey, J Chaki",An introduction to COVID-19,2021,Artificial Intelligence for Coronavirus Outbreak,Springer,"A novel coronavirus (CoV) named '2019-nCoV'or '2019 novel coronavirus' or 'COVID-19'by the World Health Organization (WHO) is in charge of the current outbreak of pneumonia that began at the beginning of December 2019 near in Wuhan City, Hubei Province, China [1?C4] ??","An introduction to COVID-19 A novel coronavirus (CoV) named '2019-nCoV'or '2019 novel coronavirus' or 'COVID-19'by the World Health Organization (WHO) is in charge of the current outbreak of pneumonia that began at the beginning of December 2019 near in Wuhan City, Hubei Province, China [1?C4] ??"
5,"R Chilamakuri, S Agarwal",COVID-19: Characteristics and Therapeutics,2021,Cells,mdpi.com,"Abstract Novel coronavirus (COVID-19 or 2019-nCoV or SARS-CoV-2), which suddenly emerged in December 2019 is still haunting the entire human race and has affected not only the healthcare system but also the global socioeconomic balances. COVID-19 was quickly ??","COVID-19: Characteristics and Therapeutics Abstract Novel coronavirus (COVID-19 or 2019-nCoV or SARS-CoV-2), which suddenly emerged in December 2019 is still haunting the entire human race and has affected not only the healthcare system but also the global socioeconomic balances. COVID-19 was quickly ??"
113,"M Akhtaruzzaman, S Boubaker, A Sensoy",Financial contagion during COVID?C19 crisis,2021,Finance Research Letters,Elsevier,"This study examines how financial contagion occurs through financial and nonfinancial firms between China and G7 countries during the COVID?C19 period. The empirical results show that listed firms across these countries, financial and non-financial firms alike, experience ??","Financial contagion during COVID?C19 crisis This study examines how financial contagion occurs through financial and nonfinancial firms between China and G7 countries during the COVID?C19 period. The empirical results show that listed firms across these countries, financial and non-financial firms alike, experience ??"
29,"Y Van Fan, P Jiang, M Hemzal, JJ Kleme?",An update of COVID-19 influence on waste management,2021,Science of the Total ??,Elsevier,"COVID-19 has been sweeping the world. The overall number of infected persons has been increased from 5 M in March 2020 to over 22 M in August 2020 and growing, which seems not to get its peak at the current stage. This has contributed to waste generation and different ??","An update of COVID-19 influence on waste management COVID-19 has been sweeping the world. The overall number of infected persons has been increased from 5 M in March 2020 to over 22 M in August 2020 and growing, which seems not to get its peak at the current stage. This has contributed to waste generation and different ??"
18,"J Zheng, LYR Wong, K Li, AK Verma, ME Ortiz??",COVID-19 treatments and pathogenesis including anosmia in K18-hACE2 mice,2021,Nature,nature.com,"The ongoing coronavirus disease 2019 (COVID-19) pandemic is associated with substantial morbidity and mortality. Although much has been learned in the first few months of the pandemic, many features of COVID-19 pathogenesis remain to be determined. For example ??","COVID-19 treatments and pathogenesis including anosmia in K18-hACE2 mice The ongoing coronavirus disease 2019 (COVID-19) pandemic is associated with substantial morbidity and mortality. Although much has been learned in the first few months of the pandemic, many features of COVID-19 pathogenesis remain to be determined. For example ??"
15,"JS Lavine, ON Bjornstad, R Antia",Immunological characteristics govern the transition of COVID-19 to endemicity,2021,Science,science.sciencemag.org,We are currently faced with the question of how the severity of infection with severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) may change in the years ahead. Our analysis of immunological and epidemiological data on endemic human coronaviruses ??,Immunological characteristics govern the transition of COVID-19 to endemicity We are currently faced with the question of how the severity of infection with severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) may change in the years ahead. Our analysis of immunological and epidemiological data on endemic human coronaviruses ??
177,"JV Lazarus, SC Ratzan, A Palayew, LO Gostin??",A global survey of potential acceptance of a COVID-19 vaccine,2021,Nature medicine,nature.com,"Abstract Several coronavirus disease 2019 (COVID-19) vaccines are currently in human trials. In June 2020, we surveyed 13,426 people in 19 countries to determine potential acceptance rates and factors influencing acceptance of a COVID-19 vaccine. Of these ??","A global survey of potential acceptance of a COVID-19 vaccine Abstract Several coronavirus disease 2019 (COVID-19) vaccines are currently in human trials. In June 2020, we surveyed 13,426 people in 19 countries to determine potential acceptance rates and factors influencing acceptance of a COVID-19 vaccine. Of these ??"
92,"M Travaglio, Y Yu, R Popovic, L Selley, NS Leal??",Links between air pollution and COVID-19 in England,2021,Environmental ??,Elsevier,"In December 2019, a novel disease, coronavirus disease 19 (COVID-19), emerged in Wuhan, People's Republic of China. COVID-19 is caused by a novel coronavirus (SARS-CoV-2) presumed to have jumped species from another mammal to humans. This virus has ??","Links between air pollution and COVID-19 in England In December 2019, a novel disease, coronavirus disease 19 (COVID-19), emerged in Wuhan, People's Republic of China. COVID-19 is caused by a novel coronavirus (SARS-CoV-2) presumed to have jumped species from another mammal to humans. This virus has ??"
13,J Wise,Covid-19: The E484K mutation and the risks it poses,2021,,bmj.com,PHE confirmed to The BMJ that they have now identified 11 cases of the UK B1.1.7 variant carrying the E484K mutation around the Bristol area and 40 cases of the original SARS-C0V-2 virus carrying the same E484K mutation in the Liverpool area. Public health officials are carrying out enhanced ??,Covid-19: The E484K mutation and the risks it poses PHE confirmed to The BMJ that they have now identified 11 cases of the UK B1.1.7 variant carrying the E484K mutation around the Bristol area and 40 cases of the original SARS-C0V-2 virus carrying the same E484K mutation in the Liverpool area. Public health officials are carrying out enhanced ??
17,"M ?kare, DR Soriano, M Porada-Rocho??",Impact of COVID-19 on the travel and tourism industry,2021,Technological Forecasting and ??,Elsevier,"Our paper is among the first to measure the potential effects of the COVID-19 pandemic on the tourism industry. Using panel structural vector auto-regression (PSVAR)(Pedroni, 2013) on data from 1995 to 2019 in 185 countries and system dynamic modeling (real-time data ??","Impact of COVID-19 on the travel and tourism industry Our paper is among the first to measure the potential effects of the COVID-19 pandemic on the tourism industry. Using panel structural vector auto-regression (PSVAR)(Pedroni, 2013) on data from 1995 to 2019 in 185 countries and system dynamic modeling (real-time data ??"
80,"M Mazur, M Dang, M Vega",COVID-19 and the march 2020 stock market crash. Evidence from S&P1500,2021,Finance Research Letters,Elsevier,"This paper investigates the US stock market performance during the crash of March 2020 triggered by COVID-19. We find that natural gas, food, healthcare, and software stocks earn high positive returns, whereas equity values in petroleum, real estate, entertainment, and ??","COVID-19 and the march 2020 stock market crash. Evidence from S&P1500 This paper investigates the US stock market performance during the crash of March 2020 triggered by COVID-19. We find that natural gas, food, healthcare, and software stocks earn high positive returns, whereas equity values in petroleum, real estate, entertainment, and ??"
13,DS Abrams,COVID and crime: An early empirical look,2021,Journal of public economics,Elsevier,"Data from 25 large US cities is assembled to estimate the impact of the onset of the COVID-19 pandemic on crime. There is a widespread immediate drop in both criminal incidents and arrests most heavily pronounced among drug crimes, theft, residential burglaries, and most ??","COVID and crime: An early empirical look Data from 25 large US cities is assembled to estimate the impact of the onset of the COVID-19 pandemic on crime. There is a widespread immediate drop in both criminal incidents and arrests most heavily pronounced among drug crimes, theft, residential burglaries, and most ??"
55,"RH Dodd, E Cvejic, C Bonner, K Pickles??",Willingness to vaccinate against COVID-19 in Australia,2021,The Lancet Infectious ??,thelancet.com,"TheLancet. com will be undergoing maintenance on Monday, March 15, 2021, from 5: 00 am to 9: 00 pm GMT (0: 00 am to 4: 00 pm EST). During this window we have temporarily removed the Registration feature. If you already have an account you can log in. However ??","Willingness to vaccinate against COVID-19 in Australia TheLancet. com will be undergoing maintenance on Monday, March 15, 2021, from 5: 00 am to 9: 00 pm GMT (0: 00 am to 4: 00 pm EST). During this window we have temporarily removed the Registration feature. If you already have an account you can log in. However ??"
31,"JAT da Silva, P Tsigaris, M Erfanmanesh",Publishing volumes in major databases related to Covid-19,2021,Scientometrics,Springer,"Abstract The SARS-CoV-2 virus, which causes Covid-19, induced a global pandemic for which an effective cure, either in the form of a drug or vaccine, has yet to be discovered. In the few brief months that the world has known Covid-19, there has been an unprecedented ??","Publishing volumes in major databases related to Covid-19 Abstract The SARS-CoV-2 virus, which causes Covid-19, induced a global pandemic for which an effective cure, either in the form of a drug or vaccine, has yet to be discovered. In the few brief months that the world has known Covid-19, there has been an unprecedented ??"
118,"B Hu, S Huang, L Yin",The cytokine storm and COVID?\19,2021,Journal of medical virology,Wiley Online Library,"Abstract Coronavirus disease 2019 (COVID?\19), which began in Wuhan, China, in December 2019, has caused a large global pandemic and poses a serious threat to public health. More than 4 million cases of COVID?\19, which is caused by the severe acute ??","The cytokine storm and COVID?\19 Abstract Coronavirus disease 2019 (COVID?\19), which began in Wuhan, China, in December 2019, has caused a large global pandemic and poses a serious threat to public health. More than 4 million cases of COVID?\19, which is caused by the severe acute ??"
24,"V Deshmukh, R Motwani, A Kumar, C Kumari??",Histopathological observations in COVID-19: a systematic review,2021,Journal of Clinical ??,jcp.bmj.com,"Background Coronavirus disease-2019 (COVID-19) has caused a great global threat to public health. The World Health Organization (WHO) has declared COVID-19 disease as a pandemic, affecting the human respiratory and other body systems, which urgently demands ??","Histopathological observations in COVID-19: a systematic review Background Coronavirus disease-2019 (COVID-19) has caused a great global threat to public health. The World Health Organization (WHO) has declared COVID-19 disease as a pandemic, affecting the human respiratory and other body systems, which urgently demands ??"
13,"F Bader, Y Manla, B Atallah, RC Starling",Heart failure and COVID-19,2021,Heart failure reviews,Springer,Heart failure is a common disease state that can be encountered at different stages in the course of a COVID-19 patient presentation. New or existing heart failure in the setting of COVID-19 can present a set of unique challenges that can complicate presentation ??,Heart failure and COVID-19 Heart failure is a common disease state that can be encountered at different stages in the course of a COVID-19 patient presentation. New or existing heart failure in the setting of COVID-19 can present a set of unique challenges that can complicate presentation ??
39,"C Guarneri, EV Rullo, P Pavone, M Berretta??",Silent COVID-19: what your skin can reveal,2021,The Lancet Infectious ??,thelancet.com,"Clinical manifestations of coronavirus disease 2019 (COVID-19) are rare or absent in children and adolescents; 1, 2 hence, early clinical detection is fundamental to prevent further spreading. We report three young patients presenting with chilblainlike lesions who ??","Silent COVID-19: what your skin can reveal Clinical manifestations of coronavirus disease 2019 (COVID-19) are rare or absent in children and adolescents; 1, 2 hence, early clinical detection is fundamental to prevent further spreading. We report three young patients presenting with chilblainlike lesions who ??"
61,"DB Larremore, B Wilder, E Lester??",Test sensitivity is secondary to frequency and turnaround time for COVID-19 screening,2021,Science ??,advances.sciencemag.org,"The COVID-19 pandemic has created a public health crisis. Because SARS-CoV-2 can spread from individuals with presymptomatic, symptomatic, and asymptomatic infections, the reopening of societies and the control of virus spread will be facilitated by robust population ??","Test sensitivity is secondary to frequency and turnaround time for COVID-19 screening The COVID-19 pandemic has created a public health crisis. Because SARS-CoV-2 can spread from individuals with presymptomatic, symptomatic, and asymptomatic infections, the reopening of societies and the control of virus spread will be facilitated by robust population ??"
337,WHO Solidarity Trial Consortium,Repurposed antiviral drugs for COVID-19??interim WHO Solidarity trial results,2021,New England Journal of ??,Mass Medical Soc,"Abstract Background World Health Organization expert groups recommended mortality trials of four repurposed antiviral drugs??remdesivir, hydroxychloroquine, lopinavir, and interferon beta-1a??in patients hospitalized with coronavirus disease 2019 (Covid-19). Methods We ??","Repurposed antiviral drugs for COVID-19??interim WHO Solidarity trial results Abstract Background World Health Organization expert groups recommended mortality trials of four repurposed antiviral drugs??remdesivir, hydroxychloroquine, lopinavir, and interferon beta-1a??in patients hospitalized with coronavirus disease 2019 (Covid-19). Methods We ??"
5,"N Azzopardi-Muscat, HHP Kluge??",A call to strengthen data in response to COVID-19 and beyond,2021,Journal of the ??,academic.oup.com,"Abstract The COVID-19 (coronavirus disease 2019) pandemic has underscored the critical need for all countries to strengthen their health data and information systems and ensure the routes the data travel, from submission to use, are unobstructed. Timely, credible, reliable ??","A call to strengthen data in response to COVID-19 and beyond Abstract The COVID-19 (coronavirus disease 2019) pandemic has underscored the critical need for all countries to strengthen their health data and information systems and ensure the routes the data travel, from submission to use, are unobstructed. Timely, credible, reliable ??"
5,"EM Luo, S Newman, M Amat, ML Charpignon??",MIT COVID-19 datathon: data without boundaries,2021,BMJ ??,innovations.bmj.com,"The COVID-19 virus is a formidable global threat, impacting all aspects of society and exacerbating the existing inequities of our current social systems. 1 2 As we battle the virus across multiple fronts, data are critical for understanding this disease and for coordinating an ??","MIT COVID-19 datathon: data without boundaries The COVID-19 virus is a formidable global threat, impacting all aspects of society and exacerbating the existing inequities of our current social systems. 1 2 As we battle the virus across multiple fronts, data are critical for understanding this disease and for coordinating an ??"
33,"V Lampos, MS Majumder, E Yom-Tov, M Edelstein??",Tracking COVID-19 using online search,2021,NPJ digital ??,nature.com,Previous research has demonstrated that various properties of infectious diseases can be inferred from online search behaviour. In this work we use time series of online search query frequencies to gain insights about the prevalence of COVID-19 in multiple countries. We first ??,Tracking COVID-19 using online search Previous research has demonstrated that various properties of infectious diseases can be inferred from online search behaviour. In this work we use time series of online search query frequencies to gain insights about the prevalence of COVID-19 in multiple countries. We first ??
14,"CRS Mackworth-Young, R Chingono??","Community perspectives on the COVID-19 response, Zimbabwe",2021,Bulletin of the World ??,ncbi.nlm.nih.gov,Objective To investigate community and health-care workers' perspectives on the coronavirus disease 2019 (COVID-19) pandemic and on early pandemic responses during the first 2 weeks of national lockdown in Zimbabwe. Methods Rapid qualitative research was ??,"Community perspectives on the COVID-19 response, Zimbabwe Objective To investigate community and health-care workers' perspectives on the coronavirus disease 2019 (COVID-19) pandemic and on early pandemic responses during the first 2 weeks of national lockdown in Zimbabwe. Methods Rapid qualitative research was ??"
208,"DBG Tai, A Shah, CA Doubeni, IG Sia??",The disproportionate impact of COVID-19 on racial and ethnic minorities in the United States,2021,Clinical Infectious ??,academic.oup.com,"Abstract The coronavirus disease 2019 (COVID-19) pandemic has disproportionately affected racial and ethnic minority groups, with high rates of death in African American, Native American, and LatinX communities. Although the mechanisms of these disparities are ??","The disproportionate impact of COVID-19 on racial and ethnic minorities in the United States Abstract The coronavirus disease 2019 (COVID-19) pandemic has disproportionately affected racial and ethnic minority groups, with high rates of death in African American, Native American, and LatinX communities. Although the mechanisms of these disparities are ??"
55,"MD Knoll, C Wonodi",Oxford?CAstraZeneca COVID-19 vaccine efficacy,2021,The Lancet,thelancet.com,"New vaccine efficacy results are reported now in The Lancet: investigators of four randomised, controlled trials conducted in the UK, South Africa, and Brazil report pooled results of an interim analysis of safety and efficacy against COVID-19 of the Oxford?CAstraZeneca chimpanzee ??","Oxford?CAstraZeneca COVID-19 vaccine efficacy New vaccine efficacy results are reported now in The Lancet: investigators of four randomised, controlled trials conducted in the UK, South Africa, and Brazil report pooled results of an interim analysis of safety and efficacy against COVID-19 of the Oxford?CAstraZeneca chimpanzee ??"
